dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
C10C_gaussian_noise,2,0.5,BitFit,0.5264,0.5211,0.5264,0.5214,8714,30.94,0.5308
C10C_gaussian_noise,2,0.5,SSF,0.5194,0.5177,0.5194,0.5167,1792,17.20,0.5592
C10C_gaussian_noise,2,0.5,Adapter,0.5186,0.5174,0.5186,0.5169,25440,37.81,0.6000
C10C_gaussian_noise,2,0.5,LoRA,0.5180,0.5214,0.5180,0.5165,49704,24.95,0.7978
C10C_gaussian_noise,2,0.5,LFW(ours),0.4598,0.4748,0.4598,0.4548,3072,21.63,0.5256
C10C_gaussian_noise,2,0.5,FFT,0.5222,0.5181,0.5222,0.5194,1218186,27.33,0.5209
C10C_gaussian_noise,2,1,LinearProbe,0.5168,0.5149,0.5168,0.5151,1290,17.96,0.5315
C10C_gaussian_noise,2,1,BitFit,0.5346,0.5330,0.5346,0.5324,8714,73.89,0.5233
C10C_gaussian_noise,2,1,SSF,0.5274,0.5249,0.5274,0.5253,1792,54.78,0.6425
C10C_gaussian_noise,2,1,Adapter,0.5310,0.5263,0.5310,0.5264,25440,67.14,0.7091
C10C_gaussian_noise,2,1,LoRA,0.5228,0.5226,0.5228,0.5210,49704,60.94,0.9851
C10C_gaussian_noise,2,1,LFW(ours),0.4876,0.5097,0.4876,0.4818,3072,29.41,0.6545
C10C_gaussian_noise,2,1,FFT,0.5326,0.5311,0.5326,0.5313,1218186,51.63,0.6500
C10C_gaussian_noise,3,1,ZeroShot,0.4716,0.4745,0.4716,0.4598,0,0.0,0.6006
C10C_gaussian_noise,3,0.05,LinearProbe,0.4888,0.4852,0.4888,0.4822,1290,1.57,0.6627
C10C_gaussian_noise,3,0.05,BitFit,0.5010,0.4993,0.5010,0.4983,8714,4.02,0.6610
C10C_gaussian_noise,3,0.05,SSF,0.4996,0.5005,0.4996,0.4987,1792,2.98,0.6946
C10C_gaussian_noise,3,0.05,Adapter,0.4988,0.5012,0.4988,0.4975,25440,4.46,0.7038
C10C_gaussian_noise,3,0.05,LoRA,0.4918,0.4934,0.4918,0.4872,49704,2.57,1.0379
C10C_gaussian_noise,3,0.05,LFW(ours),0.4644,0.4616,0.4644,0.4519,3072,2.46,0.8216
C10C_gaussian_noise,3,0.05,FFT,0.4946,0.4949,0.4946,0.4890,1218186,3.75,0.9376
C10C_gaussian_noise,3,0.1,LinearProbe,0.4988,0.4941,0.4988,0.4938,1290,3.87,0.9935
C10C_gaussian_noise,3,0.1,BitFit,0.5092,0.5031,0.5092,0.5037,8714,10.28,0.9789
C10C_gaussian_noise,3,0.1,SSF,0.5064,0.5023,0.5064,0.5008,1792,10.70,0.9451
C10C_gaussian_noise,3,0.1,Adapter,0.4948,0.4970,0.4948,0.4925,25440,8.12,1.0523
C10C_gaussian_noise,3,0.1,LoRA,0.4870,0.4853,0.4870,0.4842,49704,16.03,0.9524
C10C_gaussian_noise,3,0.1,LFW(ours),0.4720,0.4726,0.4720,0.4616,3072,5.29,0.6444
C10C_gaussian_noise,3,0.1,FFT,0.4968,0.4963,0.4968,0.4919,1218186,4.28,0.6133
C10C_gaussian_noise,3,0.2,LinearProbe,0.4860,0.4824,0.4860,0.4783,1290,3.96,0.5850
C10C_gaussian_noise,3,0.2,BitFit,0.5132,0.5086,0.5132,0.5099,8714,17.35,0.9527
C10C_gaussian_noise,3,0.2,SSF,0.5048,0.4983,0.5048,0.5000,1792,12.87,1.0022
C10C_gaussian_noise,3,0.2,Adapter,0.5008,0.4982,0.5008,0.4982,25440,41.18,1.1020
C10C_gaussian_noise,3,0.2,LoRA,0.4668,0.4654,0.4668,0.4649,49704,26.54,1.0262
C10C_gaussian_noise,3,0.2,LFW(ours),0.4820,0.4813,0.4820,0.4738,3072,6.88,0.9839
C10C_gaussian_noise,3,0.2,FFT,0.5108,0.5066,0.5108,0.5073,1218186,17.03,0.9301
C10C_gaussian_noise,3,0.5,LinearProbe,0.4980,0.4920,0.4980,0.4926,1290,18.53,0.9738
C10C_gaussian_noise,3,0.5,BitFit,0.5220,0.5203,0.5220,0.5192,8714,73.91,0.8785
C10C_gaussian_noise,3,0.5,SSF,0.5136,0.5094,0.5136,0.5088,1792,19.04,0.7693
C10C_gaussian_noise,3,0.5,Adapter,0.5068,0.5037,0.5068,0.5017,25440,78.43,1.2071
C10C_gaussian_noise,3,0.5,LoRA,0.5184,0.5162,0.5184,0.5149,49704,42.74,0.9486
C10C_gaussian_noise,3,0.5,LFW(ours),0.4854,0.4880,0.4854,0.4794,3072,16.91,0.6972
C10C_gaussian_noise,3,0.5,FFT,0.5218,0.5180,0.5218,0.5189,1218186,60.22,0.8401
C10C_gaussian_noise,3,1,LinearProbe,0.5036,0.4976,0.5036,0.4993,1290,66.14,1.0101
C10C_gaussian_noise,3,1,BitFit,0.5296,0.5294,0.5296,0.5287,8714,167.16,0.6104
C10C_gaussian_noise,3,1,SSF,0.5192,0.5211,0.5192,0.5156,1792,91.65,0.9238
C10C_gaussian_noise,3,1,Adapter,0.5174,0.5109,0.5174,0.5125,25440,110.40,0.6586
C10C_gaussian_noise,3,1,LoRA,0.5218,0.5179,0.5218,0.5153,49704,66.33,1.3309
C10C_gaussian_noise,3,1,LFW(ours),0.4818,0.4867,0.4818,0.4772,3072,43.90,0.6175
C10C_gaussian_noise,3,1,FFT,0.5232,0.5220,0.5232,0.5201,1218186,96.60,0.9080
C10C_gaussian_noise,4,1,ZeroShot,0.4746,0.4967,0.4746,0.4682,0,0.0,0.8575
C10C_gaussian_noise,4,0.05,LinearProbe,0.4868,0.4862,0.4868,0.4810,1290,3.67,1.0212
C10C_gaussian_noise,4,0.05,BitFit,0.4746,0.4967,0.4746,0.4682,8714,2.71,1.2967
C10C_gaussian_noise,4,0.05,SSF,0.4848,0.4974,0.4848,0.4800,1792,2.91,0.9733
C10C_gaussian_noise,4,0.05,Adapter,0.4746,0.4967,0.4746,0.4682,25440,2.62,0.8566
C10C_gaussian_noise,4,0.05,LoRA,0.4746,0.4967,0.4746,0.4682,49704,2.90,0.9915
C10C_gaussian_noise,4,0.05,LFW(ours),0.4570,0.4772,0.4570,0.4520,3072,3.90,0.6533
C10C_gaussian_noise,4,0.05,FFT,0.4846,0.4988,0.4846,0.4793,1218186,2.16,0.6469
C10C_gaussian_noise,4,0.1,LinearProbe,0.4920,0.4890,0.4920,0.4868,1290,4.58,0.5490
C10C_gaussian_noise,4,0.1,BitFit,0.5036,0.5008,0.5036,0.4967,8714,11.79,0.9740
C10C_gaussian_noise,4,0.1,SSF,0.5002,0.4924,0.5002,0.4930,1792,8.48,0.8045
C10C_gaussian_noise,4,0.1,Adapter,0.4912,0.4913,0.4912,0.4849,25440,11.98,1.0146
C10C_gaussian_noise,4,0.1,LoRA,0.5026,0.4972,0.5026,0.4979,49704,9.52,1.4597
C10C_gaussian_noise,4,0.1,LFW(ours),0.4668,0.4862,0.4668,0.4622,3072,7.50,1.0217
C10C_gaussian_noise,4,0.1,FFT,0.5090,0.5027,0.5090,0.5030,1218186,7.04,0.6009
C10C_gaussian_noise,4,0.2,LinearProbe,0.5000,0.4972,0.5000,0.4962,1290,6.46,0.6524
C10C_gaussian_noise,4,0.2,BitFit,0.5122,0.5064,0.5122,0.5078,8714,32.46,0.9834
C10C_gaussian_noise,4,0.2,SSF,0.5042,0.5024,0.5042,0.4992,1792,17.63,1.0027
C10C_gaussian_noise,4,0.2,Adapter,0.5050,0.5035,0.5050,0.5017,25440,39.20,0.9509
C10C_gaussian_noise,4,0.2,LoRA,0.5064,0.5010,0.5064,0.5005,49704,21.33,1.2226
C10C_gaussian_noise,4,0.2,LFW(ours),0.4682,0.4836,0.4682,0.4636,3072,10.09,0.9270
C10C_gaussian_noise,4,0.2,FFT,0.5156,0.5126,0.5156,0.5129,1218186,16.63,0.6450
C10C_gaussian_noise,4,0.5,LinearProbe,0.5020,0.4996,0.5020,0.4989,1290,13.79,0.6786
C10C_gaussian_noise,4,0.5,BitFit,0.5124,0.5111,0.5124,0.5103,8714,44.76,0.6148
C10C_gaussian_noise,4,0.5,SSF,0.5104,0.5144,0.5104,0.5107,1792,29.68,0.7334
C10C_gaussian_noise,4,0.5,Adapter,0.5046,0.5063,0.5046,0.5034,25440,27.74,0.7138
C10C_gaussian_noise,4,0.5,LoRA,0.5088,0.5061,0.5088,0.5027,49704,26.11,1.0026
C10C_gaussian_noise,4,0.5,LFW(ours),0.4624,0.4790,0.4624,0.4590,3072,23.73,0.6778
C10C_gaussian_noise,4,0.5,FFT,0.5150,0.5160,0.5150,0.5147,1218186,36.49,0.6699
C10C_gaussian_noise,4,1,LinearProbe,0.5058,0.5029,0.5058,0.5028,1290,34.02,0.6830
C10C_gaussian_noise,4,1,BitFit,0.5216,0.5150,0.5216,0.5166,8714,73.05,0.5070
C10C_gaussian_noise,4,1,SSF,0.5210,0.5195,0.5210,0.5174,1792,70.00,0.5318
C10C_gaussian_noise,4,1,Adapter,0.5176,0.5187,0.5176,0.5163,25440,73.57,0.5778
C10C_gaussian_noise,4,1,LoRA,0.5078,0.5075,0.5078,0.5031,49704,61.85,0.7947
C10C_gaussian_noise,4,1,LFW(ours),0.4502,0.4640,0.4502,0.4460,3072,37.95,0.5267
C10C_gaussian_noise,4,1,FFT,0.5208,0.5179,0.5208,0.5179,1218186,74.93,0.5182
C10C_motion_blur,0,1,ZeroShot,0.3438,0.4869,0.3438,0.2991,0,0.0,0.5696
C10C_motion_blur,0,0.05,LinearProbe,0.4354,0.4341,0.4354,0.4296,1290,2.56,0.5633
C10C_motion_blur,0,0.05,BitFit,0.4484,0.4524,0.4484,0.4414,8714,3.35,0.5860
C10C_motion_blur,0,0.05,SSF,0.4650,0.4685,0.4650,0.4506,1792,4.87,0.5963
C10C_motion_blur,0,0.05,Adapter,0.4564,0.4734,0.4564,0.4403,25440,4.66,0.6070
C10C_motion_blur,0,0.05,LoRA,0.4624,0.4689,0.4624,0.4503,49704,4.67,0.8491
C10C_motion_blur,0,0.05,LFW(ours),0.4158,0.4253,0.4158,0.4099,3072,2.40,0.5582
C10C_motion_blur,0,0.05,FFT,0.4494,0.4517,0.4494,0.4445,1218186,2.80,0.5488
C10C_motion_blur,0,0.1,LinearProbe,0.4454,0.4450,0.4454,0.4439,1290,4.14,0.5599
C10C_motion_blur,0,0.1,BitFit,0.4746,0.4711,0.4746,0.4682,8714,9.05,0.5614
C10C_motion_blur,0,0.1,SSF,0.4640,0.4717,0.4640,0.4545,1792,6.01,0.5873
C10C_motion_blur,0,0.1,Adapter,0.4900,0.4884,0.4900,0.4871,25440,11.89,0.6073
C10C_motion_blur,0,0.1,LoRA,0.4792,0.4751,0.4792,0.4729,49704,14.23,0.8594
C10C_motion_blur,0,0.1,LFW(ours),0.4266,0.4315,0.4266,0.4198,3072,5.51,0.5643
C10C_motion_blur,0,0.1,FFT,0.4462,0.4457,0.4462,0.4378,1218186,5.57,0.5577
C10C_motion_blur,0,0.2,LinearProbe,0.4668,0.4642,0.4668,0.4628,1290,7.95,0.5638
C10C_motion_blur,0,0.2,BitFit,0.4796,0.4761,0.4796,0.4731,8714,11.06,0.5704
C10C_motion_blur,0,0.2,SSF,0.4894,0.4854,0.4894,0.4844,1792,15.11,0.5908
C10C_motion_blur,0,0.2,Adapter,0.4884,0.4844,0.4884,0.4838,25440,16.90,0.6097
C10C_motion_blur,0,0.2,LoRA,0.4928,0.4901,0.4928,0.4885,49704,16.43,0.8276
C10C_motion_blur,0,0.2,LFW(ours),0.4420,0.4400,0.4420,0.4370,3072,17.36,0.5914
C10C_motion_blur,0,0.2,FFT,0.4468,0.4473,0.4468,0.4432,1218186,14.64,0.5629
C10C_motion_blur,0,0.5,LinearProbe,0.4738,0.4703,0.4738,0.4668,1290,11.33,0.5568
C10C_motion_blur,0,0.5,BitFit,0.4902,0.4856,0.4902,0.4858,8714,24.68,0.5808
C10C_motion_blur,0,0.5,SSF,0.5062,0.5040,0.5062,0.5019,1792,38.04,0.5884
C10C_motion_blur,0,0.5,Adapter,0.4950,0.4912,0.4950,0.4925,25440,44.00,0.5995
C10C_motion_blur,0,0.5,LoRA,0.5066,0.5033,0.5066,0.5036,49704,39.14,0.8250
C10C_motion_blur,0,0.5,LFW(ours),0.4470,0.4455,0.4470,0.4428,3072,40.70,0.5830
C10C_motion_blur,0,0.5,FFT,0.4858,0.4886,0.4858,0.4817,1218186,27.15,0.5607
C10C_motion_blur,0,1,LinearProbe,0.4820,0.4773,0.4820,0.4764,1290,23.19,0.5605
C10C_motion_blur,0,1,BitFit,0.4892,0.4891,0.4892,0.4856,8714,38.49,0.5710
C10C_motion_blur,0,1,SSF,0.5026,0.4983,0.5026,0.4993,1792,43.46,0.6049
C10C_motion_blur,0,1,Adapter,0.5010,0.4996,0.5010,0.4990,25440,59.07,0.5932
C10C_motion_blur,0,1,LoRA,0.5058,0.5049,0.5058,0.5031,49704,101.36,0.8219
C10C_motion_blur,0,1,LFW(ours),0.4584,0.4556,0.4584,0.4544,3072,75.51,0.5822
C10C_motion_blur,0,1,FFT,0.4726,0.4782,0.4726,0.4711,1218186,69.09,0.5627
C10C_motion_blur,1,1,ZeroShot,0.3522,0.4498,0.3522,0.3011,0,0.0,0.5632
C10C_motion_blur,1,0.05,LinearProbe,0.4374,0.4366,0.4374,0.4337,1290,2.35,0.5631
C10C_motion_blur,1,0.05,BitFit,0.4512,0.4650,0.4512,0.4530,8714,3.73,0.5706
C10C_motion_blur,1,0.05,SSF,0.4552,0.4855,0.4552,0.4494,1792,2.48,0.5855
C10C_motion_blur,1,0.05,Adapter,0.4582,0.4625,0.4582,0.4578,25440,5.83,0.6073
C10C_motion_blur,1,0.05,LoRA,0.4496,0.4696,0.4496,0.4428,49704,4.60,0.8286
C10C_motion_blur,1,0.05,LFW(ours),0.3908,0.4281,0.3908,0.3762,3072,1.93,0.5575
C10C_motion_blur,1,0.05,FFT,0.4226,0.4296,0.4226,0.4172,1218186,3.16,0.5469
C10C_motion_blur,1,0.1,LinearProbe,0.4522,0.4536,0.4522,0.4502,1290,2.86,0.5901
C10C_motion_blur,1,0.1,BitFit,0.4512,0.4510,0.4512,0.4453,8714,6.21,0.5793
C10C_motion_blur,1,0.1,SSF,0.4612,0.4671,0.4612,0.4608,1792,10.38,0.5857
C10C_motion_blur,1,0.1,Adapter,0.4476,0.4514,0.4476,0.4419,25440,5.88,0.5943
C10C_motion_blur,1,0.1,LoRA,0.4604,0.4627,0.4604,0.4583,49704,12.66,0.8518
C10C_motion_blur,1,0.1,LFW(ours),0.4124,0.4232,0.4124,0.4039,3072,10.05,0.5575
C10C_motion_blur,1,0.1,FFT,0.4278,0.4372,0.4278,0.4207,1218186,6.37,0.5729
C10C_motion_blur,1,0.2,LinearProbe,0.4616,0.4633,0.4616,0.4600,1290,4.51,0.5567
C10C_motion_blur,1,0.2,BitFit,0.4706,0.4748,0.4706,0.4711,8714,12.20,0.5683
C10C_motion_blur,1,0.2,SSF,0.4704,0.4706,0.4704,0.4678,1792,11.71,0.5801
C10C_motion_blur,1,0.2,Adapter,0.4720,0.4714,0.4720,0.4692,25440,15.71,0.6138
C10C_motion_blur,1,0.2,LoRA,0.4728,0.4736,0.4728,0.4718,49704,13.79,0.8487
C10C_motion_blur,1,0.2,LFW(ours),0.4276,0.4371,0.4276,0.4231,3072,13.88,0.5800
C10C_motion_blur,1,0.2,FFT,0.4354,0.4633,0.4354,0.4190,1218186,8.71,0.5694
C10C_motion_blur,1,0.5,LinearProbe,0.4692,0.4686,0.4692,0.4620,1290,15.56,0.5650
C10C_motion_blur,1,0.5,BitFit,0.4806,0.4896,0.4806,0.4810,8714,42.38,0.5773
C10C_motion_blur,1,0.5,SSF,0.4884,0.4890,0.4884,0.4872,1792,53.87,0.5885
C10C_motion_blur,1,0.5,Adapter,0.4766,0.4804,0.4766,0.4774,25440,55.77,0.5974
C10C_motion_blur,1,0.5,LoRA,0.4740,0.4744,0.4740,0.4734,49704,65.81,0.8283
C10C_motion_blur,1,0.5,LFW(ours),0.4370,0.4460,0.4370,0.4328,3072,27.58,0.5608
C10C_motion_blur,1,0.5,FFT,0.4580,0.4644,0.4580,0.4555,1218186,35.20,0.5672
C10C_motion_blur,1,1,LinearProbe,0.4686,0.4758,0.4686,0.4681,1290,19.57,0.5700
C10C_motion_blur,1,1,BitFit,0.4890,0.4902,0.4890,0.4874,8714,99.84,0.5723
C10C_motion_blur,1,1,SSF,0.4858,0.4835,0.4858,0.4827,1792,48.14,0.5780
C10C_motion_blur,1,1,Adapter,0.4914,0.4947,0.4914,0.4905,25440,133.97,0.6099
C10C_motion_blur,1,1,LoRA,0.4970,0.4955,0.4970,0.4940,49704,70.07,0.8551
C10C_motion_blur,1,1,LFW(ours),0.4422,0.4510,0.4422,0.4345,3072,64.71,0.5739
C10C_motion_blur,1,1,FFT,0.4714,0.4822,0.4714,0.4705,1218186,48.70,0.5591
C10C_motion_blur,2,1,ZeroShot,0.3504,0.5120,0.3504,0.3132,0,0.0,0.5626
C10C_motion_blur,2,0.05,LinearProbe,0.4542,0.4560,0.4542,0.4519,1290,2.31,0.5629
C10C_motion_blur,2,0.05,BitFit,0.4658,0.4687,0.4658,0.4641,8714,4.00,0.5569
C10C_motion_blur,2,0.05,SSF,0.4586,0.4628,0.4586,0.4517,1792,4.12,0.6078
C10C_motion_blur,2,0.05,Adapter,0.4504,0.4597,0.4504,0.4417,25440,4.19,0.6063
C10C_motion_blur,2,0.05,LoRA,0.4642,0.4683,0.4642,0.4619,49704,5.44,0.8223
C10C_motion_blur,2,0.05,LFW(ours),0.4268,0.4516,0.4268,0.4242,3072,3.28,0.5532
C10C_motion_blur,2,0.05,FFT,0.4434,0.4435,0.4434,0.4377,1218186,3.17,0.5500
C10C_motion_blur,2,0.1,LinearProbe,0.4600,0.4603,0.4600,0.4571,1290,2.83,0.5695
C10C_motion_blur,2,0.1,BitFit,0.4648,0.4688,0.4648,0.4625,8714,7.44,0.5553
C10C_motion_blur,2,0.1,SSF,0.4690,0.4647,0.4690,0.4641,1792,8.36,0.6060
C10C_motion_blur,2,0.1,Adapter,0.4658,0.4675,0.4658,0.4631,25440,8.05,0.6187
C10C_motion_blur,2,0.1,LoRA,0.4610,0.4592,0.4610,0.4574,49704,14.23,0.8374
C10C_motion_blur,2,0.1,LFW(ours),0.4150,0.4569,0.4150,0.4092,3072,3.91,0.5701
C10C_motion_blur,2,0.1,FFT,0.4348,0.4341,0.4348,0.4291,1218186,6.59,0.5617
C10C_motion_blur,2,0.2,LinearProbe,0.4568,0.4577,0.4568,0.4551,1290,6.32,0.5641
C10C_motion_blur,2,0.2,BitFit,0.4748,0.4728,0.4748,0.4684,8714,10.06,0.5610
C10C_motion_blur,2,0.2,SSF,0.4728,0.4711,0.4728,0.4677,1792,11.96,0.5857
C10C_motion_blur,2,0.2,Adapter,0.4760,0.4739,0.4760,0.4720,25440,20.98,0.5981
C10C_motion_blur,2,0.2,LoRA,0.4746,0.4743,0.4746,0.4711,49704,15.24,0.8245
C10C_motion_blur,2,0.2,LFW(ours),0.4354,0.4464,0.4354,0.4303,3072,8.58,0.5581
C10C_motion_blur,2,0.2,FFT,0.4402,0.4443,0.4402,0.4375,1218186,12.76,0.5981
C10C_motion_blur,2,0.5,LinearProbe,0.4652,0.4620,0.4652,0.4606,1290,26.07,0.5461
C10C_motion_blur,2,0.5,BitFit,0.4844,0.4821,0.4844,0.4786,8714,44.06,0.5282
C10C_motion_blur,2,0.5,SSF,0.4824,0.4778,0.4824,0.4789,1792,20.99,0.5344
C10C_motion_blur,2,0.5,Adapter,0.4864,0.4856,0.4864,0.4847,25440,51.48,0.5553
C10C_motion_blur,2,0.5,LoRA,0.4780,0.4762,0.4780,0.4758,49704,23.61,0.7805
C10C_motion_blur,2,0.5,LFW(ours),0.4590,0.4598,0.4590,0.4537,3072,27.61,0.5055
C10C_motion_blur,2,0.5,FFT,0.4558,0.4718,0.4558,0.4581,1218186,23.16,0.5045
C10C_motion_blur,2,1,LinearProbe,0.4718,0.4726,0.4718,0.4695,1290,17.05,0.5066
C10C_motion_blur,2,1,BitFit,0.4846,0.4808,0.4846,0.4787,8714,76.80,0.6670
C10C_motion_blur,2,1,SSF,0.4992,0.4957,0.4992,0.4954,1792,104.95,0.6845
C10C_motion_blur,2,1,Adapter,0.4924,0.4914,0.4924,0.4887,25440,126.95,0.7138
C10C_motion_blur,2,1,LoRA,0.4934,0.4873,0.4934,0.4881,49704,91.21,0.9479
C10C_motion_blur,2,1,LFW(ours),0.4566,0.4642,0.4566,0.4554,3072,52.03,0.4887
C10C_motion_blur,2,1,FFT,0.4772,0.4734,0.4772,0.4730,1218186,64.85,0.6380
C10C_motion_blur,3,1,ZeroShot,0.3396,0.4906,0.3396,0.3028,0,0.0,0.6544
C10C_motion_blur,3,0.05,LinearProbe,0.4402,0.4488,0.4402,0.4406,1290,1.83,0.4978
C10C_motion_blur,3,0.05,BitFit,0.4488,0.4637,0.4488,0.4426,8714,1.94,0.5023
C10C_motion_blur,3,0.05,SSF,0.4580,0.4741,0.4580,0.4576,1792,2.28,0.5229
C10C_motion_blur,3,0.05,Adapter,0.4424,0.4628,0.4424,0.4314,25440,3.10,0.5418
C10C_motion_blur,3,0.05,LoRA,0.4568,0.4589,0.4568,0.4537,49704,7.70,0.7790
C10C_motion_blur,3,0.05,LFW(ours),0.4136,0.4351,0.4136,0.4119,3072,2.03,0.5071
C10C_motion_blur,3,0.05,FFT,0.4480,0.4523,0.4480,0.4440,1218186,2.37,0.5144
C10C_motion_blur,3,0.1,LinearProbe,0.4398,0.4503,0.4398,0.4274,1290,1.72,0.5134
C10C_motion_blur,3,0.1,BitFit,0.4686,0.4661,0.4686,0.4572,8714,6.43,0.5076
C10C_motion_blur,3,0.1,SSF,0.4632,0.4631,0.4632,0.4524,1792,4.34,0.5243
C10C_motion_blur,3,0.1,Adapter,0.4488,0.4635,0.4488,0.4365,25440,4.16,0.5416
C10C_motion_blur,3,0.1,LoRA,0.4620,0.4639,0.4620,0.4605,49704,14.83,0.7752
C10C_motion_blur,3,0.1,LFW(ours),0.4164,0.4198,0.4164,0.4157,3072,6.46,0.5078
C10C_motion_blur,3,0.1,FFT,0.4588,0.4569,0.4588,0.4487,1218186,4.12,0.5061
C10C_motion_blur,3,0.2,LinearProbe,0.4460,0.4482,0.4460,0.4423,1290,3.43,0.5038
C10C_motion_blur,3,0.2,BitFit,0.4714,0.4676,0.4714,0.4667,8714,9.65,0.5085
C10C_motion_blur,3,0.2,SSF,0.4758,0.4711,0.4758,0.4700,1792,19.80,0.5412
C10C_motion_blur,3,0.2,Adapter,0.4758,0.4738,0.4758,0.4723,25440,12.70,0.5520
C10C_motion_blur,3,0.2,LoRA,0.4756,0.4775,0.4756,0.4731,49704,12.58,0.8088
C10C_motion_blur,3,0.2,LFW(ours),0.4222,0.4229,0.4222,0.4210,3072,9.39,0.5231
C10C_motion_blur,3,0.2,FFT,0.4438,0.4509,0.4438,0.4409,1218186,10.60,0.5101
C10C_motion_blur,3,0.5,LinearProbe,0.4702,0.4707,0.4702,0.4681,1290,17.11,0.5126
C10C_motion_blur,3,0.5,BitFit,0.4744,0.4751,0.4744,0.4661,8714,47.01,0.5338
C10C_motion_blur,3,0.5,SSF,0.4576,0.4628,0.4576,0.4483,1792,15.37,0.5425
C10C_motion_blur,3,0.5,Adapter,0.4802,0.4790,0.4802,0.4773,25440,35.98,0.5604
C10C_motion_blur,3,0.5,LoRA,0.4854,0.4813,0.4854,0.4815,49704,44.00,0.7783
C10C_motion_blur,3,0.5,LFW(ours),0.4356,0.4367,0.4356,0.4345,3072,27.56,0.5098
C10C_motion_blur,3,0.5,FFT,0.4608,0.4718,0.4608,0.4588,1218186,28.89,0.5074
C10C_motion_blur,3,1,LinearProbe,0.4682,0.4665,0.4682,0.4651,1290,61.41,0.5246
C10C_motion_blur,3,1,BitFit,0.4826,0.4788,0.4826,0.4796,8714,70.32,0.6585
C10C_motion_blur,3,1,SSF,0.4926,0.4896,0.4926,0.4890,1792,87.01,0.4969
C10C_motion_blur,3,1,Adapter,0.4878,0.4866,0.4878,0.4836,25440,61.07,0.7022
C10C_motion_blur,3,1,LoRA,0.4902,0.4912,0.4902,0.4877,49704,104.53,0.7690
C10C_motion_blur,3,1,LFW(ours),0.4504,0.4506,0.4504,0.4483,3072,140.08,0.6769
C10C_motion_blur,3,1,FFT,0.4862,0.4826,0.4862,0.4794,1218186,42.28,0.4780
C10C_motion_blur,4,1,ZeroShot,0.3090,0.4562,0.3090,0.2638,0,0.0,0.4692
C10C_motion_blur,4,0.05,LinearProbe,0.4336,0.4378,0.4336,0.4260,1290,1.51,0.5108
C10C_motion_blur,4,0.05,BitFit,0.4680,0.4682,0.4680,0.4612,8714,3.74,0.6533
C10C_motion_blur,4,0.05,SSF,0.4676,0.4664,0.4676,0.4585,1792,5.08,0.6784
C10C_motion_blur,4,0.05,Adapter,0.4484,0.4679,0.4484,0.4373,25440,4.03,0.7181
C10C_motion_blur,4,0.05,LoRA,0.4634,0.4662,0.4634,0.4565,49704,5.80,0.9553
C10C_motion_blur,4,0.05,LFW(ours),0.4268,0.4301,0.4268,0.4224,3072,5.02,0.6441
C10C_motion_blur,4,0.05,FFT,0.4432,0.4532,0.4432,0.4439,1218186,3.65,0.6488
C10C_motion_blur,4,0.1,LinearProbe,0.4258,0.4244,0.4258,0.4217,1290,6.10,0.6476
C10C_motion_blur,4,0.1,BitFit,0.4676,0.4743,0.4676,0.4635,8714,7.76,0.4788
C10C_motion_blur,4,0.1,SSF,0.4722,0.4648,0.4722,0.4631,1792,5.80,0.4922
C10C_motion_blur,4,0.1,Adapter,0.4374,0.4684,0.4374,0.4290,25440,3.86,0.5692
C10C_motion_blur,4,0.1,LoRA,0.4772,0.4674,0.4772,0.4667,49704,8.99,0.8719
C10C_motion_blur,4,0.1,LFW(ours),0.4298,0.4337,0.4298,0.4274,3072,6.84,0.5948
C10C_motion_blur,4,0.1,FFT,0.4316,0.4385,0.4316,0.4319,1218186,8.10,0.5911
C10C_motion_blur,4,0.2,LinearProbe,0.4580,0.4519,0.4580,0.4513,1290,5.25,0.5795
C10C_motion_blur,4,0.2,BitFit,0.4788,0.4771,0.4788,0.4730,8714,11.45,0.5773
C10C_motion_blur,4,0.2,SSF,0.4836,0.4818,0.4836,0.4805,1792,25.51,0.6009
C10C_motion_blur,4,0.2,Adapter,0.4696,0.4662,0.4696,0.4658,25440,12.23,0.6296
C10C_motion_blur,4,0.2,LoRA,0.4856,0.4821,0.4856,0.4816,49704,17.40,0.8431
C10C_motion_blur,4,0.2,LFW(ours),0.4386,0.4385,0.4386,0.4345,3072,11.10,0.5761
C10C_motion_blur,4,0.2,FFT,0.4494,0.4715,0.4494,0.4450,1218186,8.62,0.5938
C10C_motion_blur,4,0.5,LinearProbe,0.4660,0.4656,0.4660,0.4628,1290,27.43,0.5790
C10C_motion_blur,4,0.5,BitFit,0.4810,0.4789,0.4810,0.4769,8714,22.52,0.5785
C10C_motion_blur,4,0.5,SSF,0.4876,0.4851,0.4876,0.4843,1792,28.36,0.6193
C10C_motion_blur,4,0.5,Adapter,0.4918,0.4905,0.4918,0.4892,25440,41.92,0.6164
C10C_motion_blur,4,0.5,LoRA,0.4948,0.4923,0.4948,0.4919,49704,39.09,0.8547
C10C_motion_blur,4,0.5,LFW(ours),0.4500,0.4539,0.4500,0.4485,3072,52.37,0.5827
C10C_motion_blur,4,0.5,FFT,0.4660,0.4675,0.4660,0.4641,1218186,27.99,0.5924
C10C_motion_blur,4,1,LinearProbe,0.4734,0.4719,0.4734,0.4699,1290,42.98,0.5880
C10C_motion_blur,4,1,BitFit,0.4958,0.4993,0.4958,0.4958,8714,96.69,0.5772
