dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
USPS,1,0.5,LinearProbe,0.9382,0.9326,0.9324,0.9321,1290,39.39,0.5013
USPS,1,0.5,BitFit,0.9552,0.9518,0.9535,0.9524,8714,86.90,0.5174
USPS,1,0.5,SSF,0.9527,0.9481,0.9512,0.9494,1792,66.07,0.5391
USPS,1,0.5,Adapter,0.9576,0.9542,0.9542,0.9540,25440,36.12,0.5562
USPS,1,0.5,LoRA,0.9616,0.9568,0.9607,0.9586,49704,65.16,0.7791
USPS,1,0.5,LFW(ours),0.9382,0.9351,0.9334,0.9337,3072,54.26,0.6510
USPS,1,0.5,FFT,0.9611,0.9575,0.9588,0.9580,1218186,48.42,0.6492
USPS,1,1,LinearProbe,0.9467,0.9423,0.9422,0.9422,1290,84.66,0.7137
USPS,1,1,BitFit,0.9631,0.9601,0.9603,0.9600,8714,226.13,0.6609
USPS,1,1,SSF,0.9641,0.9607,0.9628,0.9616,1792,222.43,0.5377
USPS,1,1,Adapter,0.9562,0.9541,0.9524,0.9531,25440,91.76,0.5574
USPS,1,1,LoRA,0.9626,0.9602,0.9602,0.9600,49704,110.35,0.7785
USPS,1,1,LFW(ours),0.9322,0.9293,0.9268,0.9272,3072,48.72,0.5139
USPS,1,1,FFT,0.9691,0.9661,0.9676,0.9667,1218186,197.98,0.5101
USPS,2,1,ZeroShot,0.3064,0.6649,0.3362,0.3158,0,0.0,0.5090
USPS,2,0.05,LinearProbe,0.8974,0.8939,0.8870,0.8892,1290,2.10,0.5263
USPS,2,0.05,BitFit,0.9168,0.9209,0.9083,0.9115,8714,5.53,0.7422
USPS,2,0.05,SSF,0.8999,0.9025,0.8876,0.8905,1792,5.36,0.5495
USPS,2,0.05,Adapter,0.9287,0.9276,0.9214,0.9224,25440,4.09,0.5669
USPS,2,0.05,LoRA,0.9412,0.9397,0.9380,0.9379,49704,4.94,0.7726
USPS,2,0.05,LFW(ours),0.8321,0.8566,0.8174,0.8200,3072,3.13,0.5100
USPS,2,0.05,FFT,0.9347,0.9361,0.9278,0.9309,1218186,4.49,0.5185
USPS,2,0.1,LinearProbe,0.9113,0.9043,0.9044,0.9035,1290,4.27,0.5000
USPS,2,0.1,BitFit,0.9447,0.9429,0.9407,0.9415,8714,10.47,0.5069
USPS,2,0.1,SSF,0.9472,0.9442,0.9445,0.9438,1792,10.23,0.5402
USPS,2,0.1,Adapter,0.9452,0.9414,0.9440,0.9421,25440,6.68,0.5470
USPS,2,0.1,LoRA,0.9522,0.9490,0.9498,0.9491,49704,11.32,0.7865
USPS,2,0.1,LFW(ours),0.9028,0.9027,0.8950,0.8963,3072,8.31,0.5396
USPS,2,0.1,FFT,0.9038,0.9069,0.8924,0.8965,1218186,5.96,0.5076
USPS,2,0.2,LinearProbe,0.9268,0.9188,0.9220,0.9202,1290,16.83,0.5200
USPS,2,0.2,BitFit,0.9497,0.9470,0.9466,0.9463,8714,15.65,0.5090
USPS,2,0.2,SSF,0.9547,0.9509,0.9529,0.9516,1792,19.30,0.5403
USPS,2,0.2,Adapter,0.9507,0.9471,0.9488,0.9471,25440,10.81,0.5606
USPS,2,0.2,LoRA,0.9586,0.9556,0.9574,0.9562,49704,20.11,0.7726
USPS,2,0.2,LFW(ours),0.9183,0.9151,0.9124,0.9119,3072,12.06,0.5234
USPS,2,0.2,FFT,0.9606,0.9576,0.9599,0.9586,1218186,15.39,0.4972
USPS,2,0.5,LinearProbe,0.9283,0.9214,0.9215,0.9209,1290,17.15,0.7141
USPS,2,0.5,BitFit,0.9656,0.9642,0.9636,0.9637,8714,115.61,0.4987
USPS,2,0.5,SSF,0.9586,0.9555,0.9564,0.9558,1792,32.18,0.6927
USPS,2,0.5,Adapter,0.9626,0.9586,0.9610,0.9597,25440,60.18,0.7279
USPS,2,0.5,LoRA,0.9641,0.9614,0.9622,0.9616,49704,104.55,0.7223
USPS,2,0.5,LFW(ours),0.9337,0.9297,0.9286,0.9281,3072,34.99,0.6732
USPS,2,0.5,FFT,0.9641,0.9604,0.9625,0.9614,1218186,66.41,0.6870
USPS,2,1,LinearProbe,0.9327,0.9264,0.9297,0.9275,1290,67.77,0.6654
USPS,2,1,BitFit,0.9656,0.9640,0.9638,0.9637,8714,211.86,0.6852
USPS,2,1,SSF,0.9666,0.9625,0.9663,0.9641,1792,109.40,0.7070
