dataset,seed,sigma,method,f1,acc
Heart,3,1.0,BitFit,0.627451,0.631579
Heart,4,0.1,ZeroShot,0.665444,0.684211
Heart,4,0.1,LFW(ours),0.665444,0.684211
Heart,4,0.1,FFT,0.669623,0.671053
Heart,4,0.1,BitFit,0.665444,0.684211
Heart,4,0.5,ZeroShot,0.590769,0.631579
Heart,4,0.5,LFW(ours),0.590769,0.631579
Heart,4,0.5,FFT,0.732206,0.736842
Heart,4,0.5,BitFit,0.590769,0.631579
Heart,4,1.0,ZeroShot,0.590769,0.631579
Heart,4,1.0,LFW(ours),0.590769,0.631579
Heart,4,1.0,FFT,0.579811,0.592105
Heart,4,1.0,BitFit,0.590769,0.631579
