dataset,seed,sigma,method,f1,acc
Bank,4,0.1,ZeroShot,0.718771,0.877289
Bank,4,0.1,LFW(ours),0.685320,0.893480
Bank,4,0.1,FFT,0.697461,0.877112
Bank,4,0.1,BitFit,0.718771,0.877289
Bank,4,0.5,ZeroShot,0.698942,0.862337
Bank,4,0.5,LFW(ours),0.675594,0.876139
Bank,4,0.5,FFT,0.672746,0.860745
Bank,4,0.5,BitFit,0.698942,0.862337
Bank,4,1.0,ZeroShot,0.656750,0.820756
Bank,4,1.0,LFW(ours),0.632688,0.831372
Bank,4,1.0,FFT,0.637280,0.823233
Bank,4,1.0,BitFit,0.656750,0.820756
Adult,0,0.1,ZeroShot,0.783364,0.847789
Adult,0,0.1,LFW(ours),0.777950,0.849263
Adult,0,0.1,FFT,0.779443,0.850123
Adult,0,0.1,BitFit,0.781559,0.848526
Adult,0,0.5,ZeroShot,0.674369,0.780221
Adult,0,0.5,LFW(ours),0.711674,0.803071
Adult,0,0.5,FFT,0.666960,0.786609
Adult,0,0.5,BitFit,0.671721,0.780467
Adult,0,1.0,ZeroShot,0.601632,0.728133
Adult,0,1.0,LFW(ours),0.653206,0.756757
Adult,0,1.0,FFT,0.600122,0.743489
Adult,0,1.0,BitFit,0.602316,0.730590
Adult,1,0.1,ZeroShot,0.773414,0.836732
Adult,1,0.1,LFW(ours),0.780865,0.847420
Adult,1,0.1,FFT,0.769562,0.843120
Adult,1,0.1,BitFit,0.766938,0.842015
Adult,1,0.5,ZeroShot,0.602656,0.702334
Adult,1,0.5,LFW(ours),0.656148,0.756388
Adult,1,0.5,FFT,0.608857,0.721744
Adult,1,0.5,BitFit,0.608298,0.715479
Adult,1,1.0,ZeroShot,0.559601,0.666585
Adult,1,1.0,LFW(ours),0.587560,0.696683
Adult,1,1.0,FFT,0.559810,0.681450
Adult,1,1.0,BitFit,0.559240,0.670516
Adult,2,0.1,ZeroShot,0.787053,0.847420
Adult,2,0.1,LFW(ours),0.775401,0.851720
Adult,2,0.1,FFT,0.779623,0.850860
Adult,2,0.1,BitFit,0.779079,0.850369
