dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
HAR,1,0.05,MIFilter,0.885947,0.891642,0.883905,0.885219,0,0.00,0.0400
HAR,1,0.05,LR,0.791582,0.813623,0.782089,0.777748,3372,0.06,0.0013
HAR,1,0.05,SVM,0.817379,0.827201,0.809628,0.808586,32262,0.00,0.0249
HAR,1,0.05,RF,0.857434,0.857605,0.854326,0.854435,3562,0.29,0.0318
HAR,1,0.05,LinearProbe,0.935506,0.939631,0.933397,0.934812,3078,0.14,0.0427
HAR,1,0.05,BitFit,0.935506,0.939631,0.933397,0.934812,1542,0.14,0.0454
HAR,1,0.05,SSF,0.935506,0.939631,0.933397,0.934812,4194,0.21,0.0694
HAR,1,0.05,Adapter,0.935506,0.939631,0.933397,0.934812,66112,0.16,0.0573
HAR,1,0.05,LoRA,0.935506,0.939631,0.933397,0.934812,14556,0.48,0.0443
HAR,1,0.05,LFW(ours),0.935506,0.939631,0.933397,0.934812,561,0.27,0.0452
HAR,1,0.05,FFT,0.837746,0.868620,0.831517,0.822698,1103366,2.07,0.0395
HAR,1,0.1,ZeroShot,0.935506,0.939631,0.933397,0.934812,0,0.00,0.0426
HAR,1,0.1,VarFilter,0.879158,0.894070,0.871083,0.871981,0,0.00,0.0415
HAR,1,0.1,MIFilter,0.882553,0.886630,0.879944,0.881529,0,0.00,0.0419
HAR,1,0.1,LR,0.902919,0.907428,0.905021,0.905639,3372,0.03,0.0018
HAR,1,0.1,SVM,0.904277,0.905399,0.905529,0.905273,66788,0.01,0.0498
HAR,1,0.1,RF,0.926001,0.924318,0.924520,0.924077,5924,0.29,0.0266
HAR,1,0.1,LinearProbe,0.907671,0.914767,0.909431,0.906812,3078,0.28,0.0427
HAR,1,0.1,BitFit,0.935506,0.939631,0.933397,0.934812,1542,0.27,0.0387
HAR,1,0.1,SSF,0.936864,0.938115,0.935333,0.936128,4194,0.34,0.0536
HAR,1,0.1,Adapter,0.936185,0.936197,0.936004,0.935877,66112,0.43,0.0468
HAR,1,0.1,LoRA,0.923286,0.923668,0.923676,0.922875,14556,0.46,0.0462
HAR,1,0.1,LFW(ours),0.936185,0.936112,0.935539,0.935727,561,0.37,0.0419
HAR,1,0.1,FFT,0.927359,0.933729,0.928389,0.926665,1103366,2.38,0.0398
HAR,1,0.2,ZeroShot,0.935506,0.939631,0.933397,0.934812,0,0.00,0.0410
HAR,1,0.2,VarFilter,0.909029,0.914159,0.903109,0.904626,0,0.00,0.0520
HAR,1,0.2,MIFilter,0.880516,0.885877,0.877524,0.879291,0,0.00,0.0435
HAR,1,0.2,LR,0.938900,0.939245,0.939562,0.939359,3372,0.03,0.0016
HAR,1,0.2,SVM,0.945010,0.944625,0.944704,0.944597,119426,0.02,0.0826
HAR,1,0.2,RF,0.926001,0.925324,0.924474,0.924468,9272,0.31,0.0252
HAR,1,0.2,LinearProbe,0.935506,0.939631,0.933397,0.934812,3078,0.19,0.0407
HAR,1,0.2,BitFit,0.934148,0.936517,0.932307,0.933356,1542,0.37,0.0401
HAR,1,0.2,SSF,0.934827,0.937352,0.932979,0.934082,4194,0.40,0.0552
HAR,1,0.2,Adapter,0.935506,0.939631,0.933397,0.934812,66112,0.33,0.0473
HAR,1,0.2,LoRA,0.937542,0.937724,0.936457,0.936866,14556,0.71,0.0460
HAR,1,0.2,LFW(ours),0.950441,0.949561,0.949719,0.949567,561,0.87,0.0421
HAR,1,0.2,FFT,0.951120,0.953659,0.951703,0.951291,1103366,4.17,0.0394
HAR,1,0.5,ZeroShot,0.935506,0.939631,0.933397,0.934812,0,0.00,0.0408
HAR,1,0.5,VarFilter,0.913781,0.914733,0.908465,0.909512,0,0.00,0.0411
HAR,1,0.5,MIFilter,0.904277,0.906158,0.902628,0.903726,0,0.00,0.0395
HAR,1,0.5,LR,0.959267,0.959896,0.960087,0.959939,3372,0.06,0.0017
HAR,1,0.5,SVM,0.963340,0.963339,0.964161,0.963604,224702,0.04,0.1624
HAR,1,0.5,RF,0.961303,0.960914,0.959644,0.960073,16976,0.57,0.0327
HAR,1,0.5,LinearProbe,0.959267,0.959216,0.959010,0.959029,3078,1.30,0.0423
HAR,1,0.5,BitFit,0.935506,0.936295,0.934187,0.934849,1542,1.27,0.0378
HAR,1,0.5,SSF,0.940258,0.940268,0.939152,0.939514,4194,1.92,0.0536
HAR,1,0.5,Adapter,0.967413,0.967254,0.967326,0.967093,66112,1.98,0.0461
HAR,1,0.5,LoRA,0.957909,0.957597,0.957439,0.957475,14556,2.61,0.0501
HAR,1,0.5,LFW(ours),0.960625,0.960531,0.959465,0.959810,561,1.69,0.0423
HAR,1,0.5,FFT,0.964698,0.965259,0.965277,0.965032,1103366,9.76,0.0412
HAR,1,1.0,ZeroShot,0.935506,0.939631,0.933397,0.934812,0,0.00,0.0396
HAR,1,1.0,VarFilter,0.919212,0.918951,0.915303,0.916194,0,0.00,0.0407
HAR,1,1.0,MIFilter,0.902240,0.904782,0.900859,0.901913,0,0.00,0.0411
HAR,1,1.0,LR,0.963340,0.964146,0.963409,0.963650,3372,0.08,0.0013
HAR,1,1.0,SVM,0.975560,0.975571,0.976145,0.975837,349788,0.12,0.2706
HAR,1,1.0,RF,0.970129,0.969781,0.968566,0.968981,27288,0.84,0.0320
HAR,1,1.0,LinearProbe,0.948405,0.949434,0.948270,0.948428,3078,1.35,0.0406
HAR,1,1.0,BitFit,0.936864,0.938759,0.935141,0.936095,1542,1.30,0.0396
HAR,1,1.0,SSF,0.960625,0.960706,0.959448,0.959918,4194,10.51,0.0489
HAR,1,1.0,Adapter,0.969450,0.969678,0.969790,0.969534,66112,3.93,0.0436
HAR,1,1.0,LoRA,0.968092,0.968777,0.968723,0.968482,14556,4.40,0.0419
HAR,1,1.0,LFW(ours),0.967413,0.967417,0.966806,0.966991,561,2.79,0.0367
HAR,1,1.0,FFT,0.963340,0.965062,0.963608,0.964014,1103366,9.21,0.0350
HAR,2,0.05,ZeroShot,0.936864,0.940395,0.935723,0.937083,0,0.00,0.0578
HAR,2,0.05,VarFilter,0.917855,0.923285,0.914715,0.916743,0,0.00,0.0481
HAR,2,0.05,MIFilter,0.890699,0.895169,0.889050,0.890837,0,0.00,0.0405
HAR,2,0.05,LR,0.845214,0.854248,0.846858,0.847364,3372,0.02,0.0012
HAR,2,0.05,SVM,0.809912,0.824815,0.813357,0.813677,32262,0.00,0.0231
HAR,2,0.05,RF,0.790224,0.812416,0.793529,0.798632,3440,0.28,0.0264
HAR,2,0.05,LinearProbe,0.936864,0.940395,0.935723,0.937083,3078,0.11,0.0389
HAR,2,0.05,BitFit,0.936864,0.940395,0.935723,0.937083,1542,0.10,0.0346
HAR,2,0.05,SSF,0.936864,0.940395,0.935723,0.937083,4194,0.14,0.0559
HAR,2,0.05,Adapter,0.936864,0.940395,0.935723,0.937083,66112,0.13,0.0511
HAR,2,0.05,LoRA,0.929396,0.931149,0.929566,0.929303,14556,0.72,0.0465
HAR,2,0.05,LFW(ours),0.941616,0.943656,0.941880,0.941652,561,0.35,0.0416
HAR,2,0.05,FFT,0.937542,0.938035,0.938062,0.936880,1103366,1.84,0.0458
HAR,2,0.1,ZeroShot,0.936864,0.940395,0.935723,0.937083,0,0.00,0.0494
HAR,2,0.1,VarFilter,0.909029,0.919028,0.903689,0.906166,0,0.00,0.0511
HAR,2,0.1,MIFilter,0.882553,0.887162,0.880928,0.882416,0,0.00,0.0415
HAR,2,0.1,LR,0.899525,0.904384,0.897521,0.898866,3372,0.02,0.0015
HAR,2,0.1,SVM,0.891378,0.893788,0.890563,0.891233,61694,0.00,0.0450
HAR,2,0.1,RF,0.859470,0.863480,0.857712,0.858512,5654,0.31,0.0329
HAR,2,0.1,LinearProbe,0.938900,0.939017,0.938807,0.937951,3078,0.31,0.0376
HAR,2,0.1,BitFit,0.936864,0.940395,0.935723,0.937083,1542,0.15,0.0396
HAR,2,0.1,SSF,0.936864,0.940395,0.935723,0.937083,4194,0.20,0.0529
HAR,2,0.1,Adapter,0.948405,0.949628,0.947233,0.947711,66112,0.40,0.0434
HAR,2,0.1,LoRA,0.897488,0.913685,0.900618,0.897150,14556,0.49,0.0431
HAR,2,0.1,LFW(ours),0.927359,0.932961,0.928388,0.927260,561,0.38,0.0408
HAR,2,0.1,FFT,0.901561,0.921462,0.905416,0.901018,1103366,1.55,0.0394
HAR,2,0.2,ZeroShot,0.936864,0.940395,0.935723,0.937083,0,0.00,0.0404
HAR,2,0.2,VarFilter,0.923286,0.929618,0.920561,0.922701,0,0.00,0.0424
HAR,2,0.2,MIFilter,0.875085,0.880246,0.872342,0.874011,0,0.00,0.0436
HAR,2,0.2,LR,0.934827,0.936786,0.935804,0.936065,3372,0.03,0.0018
HAR,2,0.2,SVM,0.926680,0.927376,0.927748,0.927352,114332,0.02,0.0901
HAR,2,0.2,RF,0.894773,0.893863,0.892733,0.892897,9218,0.33,0.0331
HAR,2,0.2,LinearProbe,0.947047,0.946832,0.947250,0.946455,3078,0.60,0.0387
HAR,2,0.2,BitFit,0.936864,0.940395,0.935723,0.937083,1542,0.25,0.0403
HAR,2,0.2,SSF,0.936864,0.940395,0.935723,0.937083,4194,0.37,0.0573
HAR,2,0.2,Adapter,0.936864,0.940395,0.935723,0.937083,66112,0.25,0.0470
HAR,2,0.2,LoRA,0.940937,0.942010,0.941396,0.941278,14556,1.37,0.0450
HAR,2,0.2,LFW(ours),0.938900,0.940779,0.939606,0.939307,561,1.01,0.0463
HAR,2,0.2,FFT,0.953836,0.955263,0.954635,0.954285,1103366,2.44,0.0396
HAR,2,0.5,ZeroShot,0.936864,0.940395,0.935723,0.937083,0,0.00,0.0453
HAR,2,0.5,VarFilter,0.919212,0.921732,0.917161,0.918475,0,0.00,0.0427
HAR,2,0.5,MIFilter,0.870333,0.876382,0.868407,0.869920,0,0.00,0.0414
HAR,2,0.5,LR,0.960625,0.961640,0.961155,0.961325,3372,0.06,0.0012
HAR,2,0.5,SVM,0.966056,0.966109,0.966089,0.966081,225268,0.05,0.1553
HAR,2,0.5,RF,0.942974,0.943058,0.941102,0.941683,16682,0.47,0.0336
HAR,2,0.5,LinearProbe,0.964698,0.965154,0.964904,0.964881,3078,0.89,0.0397
HAR,2,0.5,BitFit,0.942295,0.944004,0.941325,0.942215,1542,0.76,0.0416
HAR,2,0.5,SSF,0.942295,0.944004,0.941325,0.942215,4194,0.95,0.0555
HAR,2,0.5,Adapter,0.966735,0.967842,0.965954,0.966575,66112,1.23,0.0470
HAR,2,0.5,LoRA,0.959946,0.960771,0.959605,0.960079,14556,2.42,0.0550
HAR,2,0.5,LFW(ours),0.955872,0.956079,0.955677,0.955838,561,1.51,0.0413
HAR,2,0.5,FFT,0.973523,0.974219,0.973650,0.973873,1103366,11.91,0.0556
HAR,2,1.0,ZeroShot,0.936864,0.940395,0.935723,0.937083,0,0.00,0.0366
HAR,2,1.0,VarFilter,0.926001,0.930388,0.923013,0.924864,0,0.00,0.0502
HAR,2,1.0,MIFilter,0.885268,0.888762,0.883926,0.885301,0,0.00,0.0729
HAR,2,1.0,LR,0.973523,0.974124,0.974251,0.974153,3372,0.30,0.0028
HAR,2,1.0,SVM,0.976918,0.977410,0.977754,0.977296,359410,0.20,0.4905
HAR,2,1.0,RF,0.968771,0.968950,0.967044,0.967675,27074,1.42,0.0573
HAR,2,1.0,LinearProbe,0.964698,0.965211,0.965354,0.965165,3078,2.30,0.0624
HAR,2,1.0,BitFit,0.945689,0.946505,0.945347,0.945746,1542,3.60,0.0565
HAR,2,1.0,SSF,0.953157,0.953454,0.953001,0.953184,4194,6.92,0.1071
HAR,2,1.0,Adapter,0.973523,0.974100,0.973697,0.973819,66112,4.24,0.0625
HAR,2,1.0,LoRA,0.972845,0.973589,0.973821,0.973618,14556,6.44,0.0648
HAR,2,1.0,LFW(ours),0.975560,0.975857,0.976192,0.976000,561,6.16,0.0522
HAR,2,1.0,FFT,0.978955,0.979317,0.979350,0.979218,1103366,14.69,0.0420
HAR,3,0.05,ZeroShot,0.946368,0.949067,0.945340,0.946436,0,0.00,0.0411
HAR,3,0.05,VarFilter,0.916497,0.919144,0.914725,0.915873,0,0.00,0.0413
HAR,3,0.05,MIFilter,0.913103,0.917236,0.910686,0.912394,0,0.00,0.0488
HAR,3,0.05,LR,0.792261,0.805890,0.785766,0.784083,3372,0.03,0.0016
HAR,3,0.05,SVM,0.807875,0.818785,0.799369,0.796551,32828,0.00,0.0318
HAR,3,0.05,RF,0.788866,0.805283,0.784465,0.785873,3716,0.36,0.0463
HAR,3,0.05,LinearProbe,0.946368,0.949067,0.945340,0.946436,3078,0.11,0.0381
HAR,3,0.05,BitFit,0.946368,0.949067,0.945340,0.946436,1542,0.13,0.0480
HAR,3,0.05,SSF,0.946368,0.949067,0.945340,0.946436,4194,0.17,0.0541
HAR,3,0.05,Adapter,0.946368,0.949067,0.945340,0.946436,66112,0.14,0.0537
HAR,3,0.05,LoRA,0.946368,0.949067,0.945340,0.946436,14556,0.42,0.0575
HAR,3,0.05,LFW(ours),0.946368,0.949067,0.945340,0.946436,561,0.39,0.0436
HAR,3,0.05,FFT,0.911066,0.929760,0.915357,0.910972,1103366,1.50,0.0399
HAR,3,0.1,ZeroShot,0.946368,0.949067,0.945340,0.946436,0,0.00,0.0393
HAR,3,0.1,VarFilter,0.921249,0.929457,0.919500,0.921376,0,0.00,0.0447
HAR,3,0.1,MIFilter,0.900204,0.906159,0.898236,0.900014,0,0.00,0.0469
HAR,3,0.1,LR,0.871690,0.876271,0.870645,0.870159,3372,0.03,0.0014
HAR,3,0.1,SVM,0.877800,0.885285,0.874977,0.874741,65090,0.00,0.0520
HAR,3,0.1,RF,0.845893,0.857698,0.840748,0.840461,5864,0.30,0.0263
